"Account Name","Opportunity Name","Close Date","Created Date","Lead Source","Notes"
"75 Towing and Recovery LLC","75 Towing and Recovery LLC  "" -BENCH with 2 months catchup""","21/06/2022","15/06/2022","High Potential Trials","Bench Essential Plan with 20% with 2 months of catchup @ 50% off so it will be $149.50 x 2

March- $299 - 50% = $149.50
Arpil  - $299 - 50% = $149.50
May- $0  Free on the house ($299 Value)
June - $299 - 20% = $239.20"
"Wizard Flooring","Wizard Flooring - Bench","21/06/2022","14/06/2022","High Potential Trials","meeting with mackenzie 06/09
closing 06/14"
"Stand Out Pools","Stand Out Pools  - Bench Essential 299","20/06/2022","17/06/2022","B2C Marketing","Spoke with Derek about his BKK needs 06/17/2022
Passed him off to Jeff from Bench for a call on 06/20/2022 2:30 PM
Lead is a 10/10 , his books are a mess, his tax filling experience was terrible and he needs someone to step in and help with books
May need the last 5 month to get caught up

Closed by Jeff 06/20/2022
Bench essential with 5 months of catchup (1 free month), the breakdown is as follows:
Due today: $239.20 (June 2022) + $0 (May 2022) + $956.80 ($239.20 x 4 months, Jan 2022 - Apr 2022) = $1,196
$239.90 for July and $299 for every month after"
"Simply Nova LLC","Simply Nova LLC  - Bench","17/06/2022","19/05/2022","High Potential Trials","meeting with michael 05/19
closed with jeff 06/16"
"Slane Hill Capital","Slane Hill Capital - Plus & Bench Yearly","16/06/2022","13/06/2022","High Potential Trials","Slane Hill Capital 
Excel, Microsoft word, Adobe
New firm 
Investment Banker 
Middle market firms 
Specific segment of the market 
1099 - 2 contractors 
Looking at QuickBooks 
Working from home"
"Full Moon Real Estate Group, LLC","Full Moon Real Estate Group, LLC  "" - Bench Essential","15/06/2022","01/06/2022","B2C Marketing","Business: Full Moon Real Estate LLC
Close Date: Wednesday June 1st
Billing: Monthly Essential (20% off for 6)
Bookkeeping Moving Forward
Monthly - $239.20/m for the first 6 months, then $299/m thereafter

The Customer gets a 20% off for the first 6 months.

They will be billed monthly. so first payment would be today for June then July then August and so on.

Hey Team,

This account was recently upgraded to an annual Select $1080 plan. We are now switching them to a monthly FB + Bench package. Keep all Select features currently on the account as we are just moving the annual FB plan to monthly.

Please make the following changes to the billing:
1) Refund the recent annual Select charge of $1080 to the credit card on file.
2) Set the new monthly billing date as today and charge $329.20 today ($90 FB + $239.20 Bench)
3) $329.20/monthly ongoing until October 2022.
4) $389/monthly October 2022 onwards ($90 FB + $299 Bench)

If you have any questions, please let me know.
Thanks,
Sohaib"
"iKANDE","iKANDE  - Bench Essential Annual $299","15/06/2022","20/05/2022","B2C Marketing","The client moving forward with Bench Essential on the annual plan. 

$2,689 covering the next 12 months. (20% off + annual pricing at $249/month)

She will purchase catchup in the future. 

Bench call book with Jeff for June 7 @ 1:30 PM EST as the client is not available before then. Very interested in Essential as she wants to take the bookkeeping off her plate entirely. Went through pricing for Essential and Premium and email sent, call confirmed."
"Swept Away, LLC","Swept Away, LLC  - Bench","14/06/2022","10/05/2022","B2C Marketing","Bench call scheduled for Friday, May 13th at 6:30PM EST

Had second bench call with Stacie today, green light to go ahead.

Sending docusign today, and moving forward with billing monthly!

First 6 months at a 20% discount ($239.20/month), after 6 months, regular $299/month pricing

Attempting to rebook onboarding call."
"TrustStorm Solutions Incorporated","TrustStorm Solutions Incorporated  - Bench","14/06/2022","06/06/2022","High Potential Trials","Intro call booked monday 6/13 at 1pm
He is doing all. the book keeping himself
would love to have that time back
was planning on finding a virtual solution
gov clients and comercial
1 to multiyear contracts
assist procescutors with crimes 
hourly work
high margins
capital built up to scale the business long term
3 months in business
s corp no partners
wires ach checks, no credit cards
pnc bank
m and t
pnc credit cards
DC located
former FBI agent
hilarious
Closing call tomorrow at 1"
"Bennett Collaborative","Bennett Collaborative  "" - Bench Essential""","13/06/2022","08/06/2022","B2C Marketing","Eric runs a content creation and copywriting firm that was started in 2020. His business has grown significantly over the past two years. This is because of the increase in demand for online content creation during covid. His books were a complete mess for 2021 so he hired Alexa administrative to help him categorize his expenses and file his taxes for 2021. He mentioned it was difficult to work with them and is considering moving over to Bench. 

Discovery call booked with Jeff for June 9th at 9:30 AM EST

Update : agreed to move with bench essential and 4 months of CU"
"Blue Noda LLC","Blue Noda LLC  "" -Bench essential annual","13/06/2022","08/06/2022","B2C Marketing","Client has already sat with bench in the past and is ready to move forward now. Is looking to sign up on an essential plan at 2:15 pm today.

Client has agreed to sign up on an essential plan with 4 months of catchup

January - April: $299/m x 4 = $1196
30% discount: $358.80
Total for Historical: $837.20
Total for annual + historical: $837.20 + $299 per month going forward

client has decided to switch from annual to monthly going forward"
"Nox Moving LLC","Nox Moving LLC  "" - Bench""","13/06/2022","13/06/2022","High Potential Trials","Docusign on it's way
$299/ Month + possible catch up for Jan - April for $209/ Month"
"Two Frogs LLC","Two Frogs LLC - Bench","13/06/2022","07/06/2022","B2C Marketing","Rene called in our support team to find more about bookkeeping platform Bench.
June 6: I spike to Rene and booked a call with Mackenzie, Bench consultant. Rene needs help with managing his expenses, maintaining his books, financial statements and also tax advisory help. Booked a call for June 7th, 2022 2pm EST.
June7: Rene emailed Mackenzie to change the call to June 8, 2022 2pm EST."
"Professor Points","Professor Points  ""ALREADY ON BENCH Plus""","10/06/2022","20/05/2022","High Potential Trials","in trial but is going to sign up. has a parent company that uses FreshBooks. Also has signed up for Bench as well. Has a problem with bank synching for the parent account and will reach out later to problem solve when he has a moment."
"The Entrepreneur LLC","The Entrepreneur LLC - Bench","10/06/2022","18/05/2022","FreshBooks Trialers","Meeting next week to discuss Gusto and Bench
Potentially booking Bench meeting today - 5/18 - to help out

Bench meeting successful 6/9 - Essentials + YTD Historical $1196"
"Vintage Lawn Service","Vintage Lawn Service  - Bench + 4 months catch up","09/06/2022","08/06/2022","B2C Marketing","Customer recent Bookkeeping service stopped providing services to him.  Needs a new bookkeeping solution. Scheduled call for 6/8/22 @12:30 PM (PT)


Getting Premium package and catch up.
Catch up for January, February, March, and April + Premium Plan at 20% discount first 6 months."
"Eric Crook Design LLC","Eric Crook Design LLC  "" - Bench Essential + 4 months CU","08/06/2022","31/05/2022","B2C Marketing","Business has grown 6x times than last year
Interior design, commercial and residential

Has a new project assigned:
Heavy commercial - federal design
6 million and half in value, residential design

Wife
-tax person
-quarterly taxes
-wholesaler, when
-back of the house
-no one?s doing it right now - expenses
-no one's keeping track

Wants to talk to Bench as he needs help. Set up a call with Bench for 06.03 at 3pm EST."
"Zwick Post","Zwick Post   - Bench Essentail","06/06/2022","11/05/2022","B2C Marketing","Currently Jared is doing all the BKK and his business is expanding to the point where it is beyond his scope to do.  They are looking for someone to reconcile their book but most importantly the need monthly reports that will give them an insight into the health of their business.  Currently looking at Bench Essential

Call set with Jeff Law for tomorrow 5.12.2022 at 4:30pm PST

05.12.2022
Call went well and it appears they will go with Bench Essential with 3 months CU (Jan, Feb, and March 2022) Bench walkthrough Appt set for tomorrow 5.13.2022 at 2pm PST

05.16.2022
Client went with Bench Essentials at $299/monthly with CU for Jan, Feb, Mar 2022  = $897

05.25.2022
Call and left a message for Charlie or Jared to call back.  The card on file is not going through (processor decline) and trying to get them on the phone to receive payment.

05.26.2022
Call and emailed for Charlie or Jared to give me a call."
"Hello Humans LLC","Hello Humans LLC  ""plus"" + potential Bench w","03/06/2022","25/05/2022","High Potential Trials","Good call with Reese really enjoying the FreshBooks platform so far and mentioned he will be upgrading when his trial is done. He had a ton of expenses so he might need help with virtual bookkeeping said he will think it over. have him cost eveything he said it was an excellent option he is just not ready yet to pull the trigger but will be interested int he future"
"Holocene Productions, LLC","Holocene Productions, LLC  - Bench","03/06/2022","31/05/2022","B2C Marketing","Wednesday, June 1?15:00 ? 15:30
Thu Jun 2, 2022 17:00 ? 17:30

A) Discounted One-Time Payment - $2,689.20 for the next 12 months ($224.10/m) *$540 Savings*
B) Monthly - $239.20/m for the first 6 months, then $299/m
Historical Bookkeeping - $299/m
January 2022 - April 2022 = $1,196
May = FREE
June - subscription starts

Client to get Bench moving forward, will get CU at the end of the month"
"Renkert Thomas Consulting LLC","Renkert Thomas Consulting LLC  "" - Bench Essential + 5 months CU""","03/06/2022","02/06/2022","B2C Marketing","Amelia offers consulting services for businesses. Her area of focus is corporate governance. She mentioned she isn't really preparing her monthly financials. She attempts to do it once a quarter. She has an accountant that files her taxes. Amelia is really interested in Bench essential to help with the month-to-month bookkeeping. Doesn't want to get rid of her accountant and so has no need for premium.

Product Demo scheduled with Michael Maher at 3:15 EST June 2nd, 2022.


Update: customer agreed to proceed with bench essential for $299/Month. We sold her on 5 months CU from Jan to May for total of $837.20"
"Benchtop Digital LLC","Benchtop Digital LLC  "" PLUS ""","31/05/2022","25/02/2022","FreshBooks Trialers","Good call with Brandon he is actually one of the owners of the business...he mentioned its been a while him and his friend / partner have been trying to get Benchtop going its a side gig/ hustle that they have going. He mentioned this is why he did not previously upgrade his FreshBooks account. I provided value to him by helping him understand Online payments. mentioned they want to accept ACH and also Credit cards but he was stuck on the verification process so i explained how KYC worked and broke down the fees for him he mentioned, that he will submit his application with Wepay with what he has for now.He said the service has been awesome so far and he is looking forward to using FB again. I also told him about Proposals and estimated he really liked the idea of having his potentials clients sign a propsoal"
"BENEVOLENT HEALTHCARE SERVICES","BENEVOLENT HEALTHCARE SERVICES - Bench Tax","31/05/2022","04/04/2022","","Customer is adding bench tax for an extra $219 per month.

Plan is moving from $214 total to $413 today. Lite plan freshbooks."
"Levy Marketing Group","Levy Marketing Group  - Bench Essential","31/05/2022","25/05/2022","B2C Marketing","2:45pm - 3:15pm, Thursday, May 26, 2022

2nd call Tue May 31, 2022 10:00 - 10:30 (EDT)

Tue May 31, 2022 15:30 - 16:00 (EDT)"
"Martin's Clear Pool Service","Martin's Clear Pool Service  "" - Bench Essential","31/05/2022","20/05/2022","B2C Marketing","Tue May 24, 2022 16:30 - 17:00 
2nd call - Mon May 30, 2022 17:00 - 17:30 (EDT)"
"Reviresco College Planning","Reviresco Wealth - Bench","31/05/2022","27/05/2022","FreshBooks Trialers","Investment management/College planning/SEC LLC business

Bench call 5/27
Essential Monthly: $239.20 per month for the next 6 months, $299 per month after that
Essential Annual: $2,689.20 for the next 12 months of books covered ($224.10 per month)
Savings: $600 
Historical Bookkeeping: $299 per month
$299x3 months = $897

Due today: $2,689.20 (May 2022 - April 2023) + $299 (March 2022) + $299 (February 2022) + $299 (January 2022) = $3,586.20

2 Businesses: College Planning & Spillpoint Financial Advising
financial services/retirement planner
college planning with a partner
front end in college admission, back end is financial planning
College is an LLC/DBA
moving to advisory fee. monthly service. Spillpoint
Most direct billing is advising or college planning
Investment management goes through RIA
Advicepay is other SW
Looking for Bookkeeping, late on taxes
Track business and home expenses
1 LLC is Reviresco wealth
Will be creating second LLC for advising business
Revenue: Planning Fees, College Planning (annual recurring), AUM Revenue, Some Commission
Paypal for college, planning fees check through RIA and AUM
College Annual Invoice, Spillpoint is monthly
Charging $3k per month
Wealthbox CRM, looking at Hubspot"
"4 PRO ENERGY INC","4 PRO ENERGY INC - Bench","30/05/2022","29/05/2022","FreshBooks Trialers","Transferred from Xaag Solutions. 

They do not know how to do the bookkeeping and since it's time-consuming they would rather have someone else take care of it. They currently have a CPA who takes care of everything for them but it's expensive (500$/Month) and they aren't getting great value from them so they want to switch it up.

Call booked may 25th with Jeff at 3 EST

moving to pricing may 26th at 10:30 am EST. will need to create a new FB account for their second business to take care of the billing.

Final decision coming May 26th at 4 PM EST. Wil have to CL this opp and re open it under 4 pro energy since that's the business they want to use for Bench.

Moving forward on annual premium plan with 3 months of catchup.

Charged Immeditately:

717.60 (Catch Up) + 4788"
"Living Spectrum LLC","Living Spectrum LLC  "" - Bench Essential","30/05/2022","20/05/2022","B2C Marketing","Interior painting & wallpaper
Uses FB for Quoting & invoices
Ariel & Mannie take turns to use it
Family owned business

Ariel handles expenses
Excel sheets
Team & projectors

Pandemic happened, collecting payments online more than ever before
In business for 7 years
Most are checks, they tried asking them to switch to bank transfer but most of them don?t want to transfer

We work with sub contractors
Admin Support 

Wants to work on B2c to B2B
Will focus more on Marketing, Advertisements

Ariel is looking to hire an admin to do her books/expenses. However, she is very interested in Bench to see how it can help her business instead.

She has been sorting everything out on her own, through excel sheets, google docs. It's been time consuming for her.

She has an accountant who helped her before, but she had a hard time pulling reports to submit to her. She is now looking for another accountant.

She has been wanting to learn about Bench so when I brought it up, it made her very interested since they don't have a set in place right now.

24/5 Call went well. Ariel wants to proceed with Bench. Waiting for her to sign the Docusign.

27/5 Ariel signed DocuSign, got approval to honour $45/month for FB plan and change the plan to monthly instead of annually."
"Queen Of Peace Rosaries","email: Sales@QueenOfPeaceRosaries.c  - Bench Essential","27/05/2022","13/05/2022","B2C Marketing","Ronda is moving forward with the Bench Essential Plan as well as catchup for 2021, and Jan - Mar 2022 ($299). 

6 months with 20% off - $239.20/month (May - Oct)

Ronda needs help with her books as she grows and scales the business. Mentioned needing help with tax filing as well. Call booked for Monday May 16 at 3pm EST with Jeff"
"Rusty&Ellie LLC","The Essentials by Rusty&Ellie LLC  "" - Bench Essential","27/05/2022","24/05/2022","FreshBooks Trialers","Rachel will launch her business next week. Her business has a parent company with 3 subsidiaries. She is looking to get organized before her business launches.

She has no process in place yet since the business is new. She is planning to do everything manually but recognizes that it can be a big mess later if she does not keep track accordingly. 

Rachel's business is new and will launch next week. She has many expenses that she wants to distribute to the subsidiaries accordingly but wants to know how to streamline how to go about it. She needs Bench's professional help before it gets messy and disorganized.

Bench call tomorrow, May 25 with Jeff at 11am EST

25/4 Will proceed with Bench Essential $239.20/monthly for Rustie and Ellie LLC, will do the other businesses later."
"Rich ASAP Transportation","Rich ASAP Transportation  - Bench Tax","25/05/2022","25/05/2022","B2C Marketing","Per Jeff, Eddie wants to switch to annual and add Bench tax to his subscription. Will charge 2988 for bench annual + 1800 for bench tax to his subscription and will flip his FB billing to annual as well effective May 25."
"Midnight Marketing, LLC","Midnight Cowgirl, LLC  - Bench Premium","24/05/2022","16/05/2022","B2C Marketing","The client is moving forward with Bench Premium Monthly + 3 months of catchup with 20% off (Jan - Mar 2022). 

Jan 2022 - Mar 2022 = $239.20 (20% off) x 3 = $717.60
Apr 2022: $0 as part of trial
May 2022 - Oct 2022: $399.20/month
Nov 2022 - onwards: $499/month

Due TODAY: $717.60 + $399.20 = $1,116.80"
"CodePR","CodePR  - Bench","19/05/2022","17/05/2022","","- Awaiting more details
- Review call scheduled for May 18th at 4 pm.
- Essential Package: 239.20 for the first six months and 299 after. 
-Due today: $239.20 (May 2022) + $897 ($299 x5 months, Jan 2022 - Mar 2022) = $1,136.20"
"Paulette Inspections","Paulette Inspections - Bench","19/05/2022","18/05/2022","FreshBooks Trialers","Bench MTG 6/19 at 11:15 est"
"TC Creatives","TC Creatives  - Bench Premium + 3 months catchup","18/05/2022","20/04/2022","B2C Marketing","Tiffiney is moving forward with Bench Premium Monthly + 3 months of catchup. 

Due Today: 
$399.20 (May 2022) + $0 (April 2022) + $897 ($299 x 3 months, January 2022 - March 2022) = $1,296.20

Welcome call set for May 25 at 1:30 EST"
"JNT Pro Transport LLC","JNT Pro Transport LLC- FB+Bench","17/05/2022","12/05/2022","B2B Marketing","Bench essential: $239 for the first 6 months and $299 thereafter
FreshBooks - 60% off for 6 months on Premium"
"Taylormadebizzness, LLC   MHIC# 146","Taylormadebizzness, LLC  - Bench","17/05/2022","12/05/2022","FreshBooks Trialers","meeting with jeff 05/16"
"Bellz & Bellz, LLC","Bellz and Bellz, LLC  - Bench Tax Catchup (8 months)","16/05/2022","15/05/2022","B2C Marketing","Client is looking for Bench catch-up for 8 months from January 2021 - August 2021. Client is ok to be bill.
ed for catchup.

CLient has been given a 30% discount."
"Schilleman Woodworking & Design","Schilleman Woodworking & Design  - Bench","13/05/2022","12/05/2022","B2C Marketing","Spoke to Jordan, and discovered that he is in need of a Bookkeeping service to sort his books as he is looking to apply for some personal loans and a mortgage. He is also looking to change his current CPA as he is looking for someone local. He wants 3 months of catch-up. 

The only concern is the cost as it is a small business they are not sure if they want to spend $300/month + catchup 

Discovery call booked for 13th May' 22, 9:30 AM EST with Jeff Law

The customer closed on the Essential monthly plan with 20% for the first 6 months (May to September) 

May to September billing $239.20 add on 
After September 2022 - $299 add-on

Due today - $239.20"
"Divino Properties LLC","Divino Properties LLC  - Bench Premium + 24 months catchup","12/05/2022","09/05/2022","B2C Marketing","Due today: $399.20 (premium monthly) + $2,511.60 (Jan 2020 - Dec 2020)

Due May 31st: $2511.60 (Jan 2021 - Dec 2021) + $1000 for previous tax year

Going forward would be $399/month for the first 6 months, then $499/month after."
"Koastside Legacy Protective Staffin","Koastside Legacy Protective Staffin - Bench Essential","11/05/2022","18/04/2022","High Potential Trials","Meeting with Michael at Bench booked for April 18th at 12:00pm PST.

Patrick just secured a SBA loan, meaning he needs to take tracking his expenses seriously. He liked what he saw of Bench when we met with Michael on May 10th, follow up call is booked for May 11th at 12:00pm EST.

Moving forward with this May 11th. $239.20 for the first 6 months and then $299 thereafter"
"R&T Consulting Group LLC","R&T Consulting Group LLC  - Plus Annual - Bench","11/05/2022","12/04/2022","FreshBooks Trialers","Looking for an invoicing and accounting platform. We spoke about leveraging bench to take the bookkeeping off of his plate. He didn't see value in Bench, but did want to move forward with FreshBooks to manage everything."
"Cancer Communicator, LLC","Cancer Communicator, LLC  Bench Annual upgrade","09/05/2022","06/05/2022","B2C Marketing","Client is moving from monthly Essential ($299) to Annual Premium ($399) on Bench. $4788 Bench + $270 FreshBooks. The MRR on this will be $100 + annual bonus since we are claiming the difference in the plans."
"JTS Automotive","JTS Automotive - 399 Bench with 3 months of Catchup","09/05/2022","26/04/2022","Inbound","Phone: 2247336182
Name: Gene Davis
Email: genedavisfw@gmail.com
Company Name: JTS Automotive located in Fort Wayne Indiana
Type of Business: Automobile / Repair shop
Current Software: QB online (also uses their bookkeeper) ...been a nightmare
Reason they are looking for a new software:
-Doesn't like QB. The support guy doesn't understand accounting
-AutoLeap is used for scheduling and invoices
-Payment through square when in store
-Credit card processing ....$50-60K a month
-Give estimates...and option to pay online via credit card with auto leap, but also some at the shop through Square.
-Want to pay vendors. Told him we can't. Says they can find away around it. So it's okay.
-Payroll system - I recommended Gustoo
-Track income and expenses
-Monthly reports
Timeline: yesterday!!"
"Nitro1Sports Fighting Eagles LLC","Nitro1Sports Fighting Eagles LLC - Bench","09/05/2022","21/04/2022","FreshBooks Trialers","Bench closing May 3rd"
"TalenAlexander - The Loving Account","TalenAlexander - The Loving Account  - Bench Essential $299","06/05/2022","04/05/2022","B2C Marketing","Client is set up for a bench call tomorrow (May 5) with Jeff from Bench @ 10 AM EST"
"House of AMZ","MarkCaseySEO  - Bench","05/05/2022","10/03/2022","B2C Marketing","Spoke to the customer over a GoogleMeet scheduled call for an Account review. Realized they have been doing their BKK via the DIY method and are not confident about it. Pitched them Bench as an alternative. 

Booked a discovery call with Jeff for 4:00 PM EST ON 10th March. 2022.

The call went well, Mark is also interested in getting their 2021 caught up as well (Jan 21-Jan 22), Jeff got all the information he needed from Mark and scheduled a follow-up call for Financial Walkthrough. 

Booked a call with Jeff on May 2nd, 2022 

The call went great, the customer decided to go with Essential Plan Yearly with a yearly discount + Books from Jan 2022 - April 2022

Due today: $2,689.20 (May 2022 - April 2023) + $807.30 ($269.10 x 3 months, January 2022 - April 2022) = $3,496.50"
"Mathew Fischer","Mathew Fischer Painting, Inc - Bench","05/05/2022","29/04/2022","B2C Marketing","April 29th I spoke to Matt and discovered his pain points with bookkeeping. Matt and his wife SU spoke with Bench Consultant Kitt on the same day. During the first meeting April 29th, 6PM Central Time, they went over the business's current bookkeeping condition, understanding of how business operates and scheduled meeting May 3rd Tuesday, 6PM Central Time for follow up!
May 3rd: Kitt went over a demo of the products with Matt and Su, they agreed on pricing and decided on Annual Bench deal and Four months of catchup: Jan-April. Kitt offered them March for free! Matt couldn't connect his bank account so scheduled call back for May 4th 1PM Central Time, to set up account and also send out Docu Sign."
"PreppComm","PreppComm- Bench Premium Upgrade","05/05/2022","29/04/2022","B2B Marketing","Planning to upgrade to bench tax for May
Confirmed with Jeff that Bench docusign complete

Final Bench Pricing:
Essential bookkeeping package + 2 months catch up
$209.30 due today (February CU)
$299/month beginning in May
January/March/April Free

Bench meeting 4/6
$209/month CU Jan/Feb
March Free
Essential Monthly: $239.20 per month for the next 6 months, $299 per month after that
Essential Annual: $2,689.20 for the next 12 months of books covered ($224.10 per month)
Savings: $600 
Historical Bookkeeping: $299 per month

Proposal 2:
$0 this month
$299/month ongoing
March Free
$209.30 Jan + $209.30 Feb CU = $418.60 total CU

Quoted FB at $5 (plus with 80% off 3)

manufacture small portable transceivers
HAM radio market
has a few contractors
manufactures out of the home, trying to expand
supply disruption on components
managing inventory in china
unsure if they will make it through the year
has enough orders to sustain
talking to shopify capital for funding
Shopify recommended FB to help with accounting issues
excess inventory showed as extra profit
MiniMRP manages inventory
2 contractors currently- paid by check
Looking to hire hourly SW developer contractor
Exploring FB v bench for accounting
Wife Sandy is co-owner"
"Casany Decor","Casany Decor - Bench Essential","04/05/2022","27/04/2022","B2C Marketing","Client is moving forward with monthly essential package with three months catch up at a discounted rate of $239.20x3=$717.60

Mon May 2, 2022 16:00 ? 16:30

event decor
wedding, corporate events
table linens to details
decor, colors
uses for estimates, orders, invoices
uses reporting for taxes
started 10 years ago, was using excel
tried quickbooks, was too hard
customized events and decor
works with spanish.. between generations
works with indian community
personable, accountable
has employees - 
cash, credit card, cheque

works saturday, sunday
daughter helps but she is in school
uncategorized expenses - once a month
she does it towards the end of year
she does her taxes
admininistration does not attention 
2021 is done."
"Chasers Towing & Recovery","Chasers Towing & Recovery - Bench","04/05/2022","27/04/2022","High Potential Trials","Hasn't done taxes for 2021 (business split from old business partner in 2020. 
Gloria is the office manager and she's supposed to handle it, but they just get busier, she can't handle it
Mentioned they're looking to become an LLC or S-Corp soon"
"Method MFG, llc","Method MFG, llc  - Bench Tax","03/05/2022","03/05/2022","B2C Marketing","Rhys has decided to upgrade his Bench package from essential to Premium. Adding Bench Tax at $200/month to be b illed today for May, and then an additional 200/month moving forward (Starting in June billing) :)"
"ELE Movers, LLC","ELE Movers, LLC  - Bench","02/05/2022","27/04/2022","B2C Marketing","They have a bookkeeper right now that they are not happy with. They are hard to get a hold of and take a lot of time to prep the books for her. Plus it costs her $359/month to get just bookkeeping taken care of. She wants to make a change. 

Called booked with Jeff for April 28th at 12:45 EST. 

Moving forward with essential monthly."
"Urbanstrong, LLC","Urbanstrong, LLC  - Bench + Month of Catchup + Upgrade to Premium with 25 %off for three months","02/05/2022","29/04/2022","B2C Marketing","- Essential Bench package
- Due today: $239.20 (April 2022) + $0 (March 2022) + $209.30 (January 2022) + $0 (February 2022) = $448.50
- Ongoing Essential Package for May Onwards: $239.20/monthly for first six months and then 299 After."
"ATHENA Market Research","Athena Research Group, Inc  - Bench Premium","29/04/2022","22/04/2022","B2C Marketing","Moving forward with Bench Premium Annual!

Annual Bookkeeping, Tax, and Advice
Subscription - $4,309 (averages to $359/m, annual savings of $1,080)
$319.20/month for the first 6 months, $399/month thereafter
Potential for 2 months of catchup but waiting to find out. 

Apr 26 - 
The call went well, follow up for completed Books set for Apr 27 @ 4EST

The client is hoping to scale and grow the business rapidly in the next 12 months as she is looking to go National. She has been trying to manage the BKK herself (has had the business since 1999, used QB until 2016, and now is working with us and loves it) but wants to increase her functionality so she can have updated P&Ls, Balance Sheets, accurate reporting for her Project Profitability and much more as she grows the business. Pitched Essential and Premium - prices looked good to her. Think she was more interested in Premium! 

ZOOM scheduled with Kitt for Tues Apr 26 @ 4 pm EST. 

Already filed taxes for 2021 but potential for catchup for Jan + Feb 2022"
"Cue & A Promotions","Cue & A Promotions - Bench Catch-up (2019-2021)","29/04/2022","29/03/2022","FreshBooks Trialers","Catch-up : Jan 2018 - Feb 2022 | $10,731
4 payment schedule: $10,731/4 = $2,682.75

29th April 2022 - $2682.75
29th May 2022 - $2682.75
29th June 2022 - $2682.75

Closing on the 29th when the first charge goes through."
"Darin Reyes Productions LLC DBA Dra","Darin Reyes Productions LLC - Bench essential + plus plan","29/04/2022","29/04/2022","High Potential Trials","oes not have a bookkeeper Darin has been wearing multiple hats and managing the books themselves. Right now he is at a point he has filed an extension on 2021 but needs to get his books in order. He was literally dedicating this weekend to doing the books on his own he is not an accountant and knows it's not going to be fun. This is where we really need to emphasize is it correct? is he going to get the most deductibles? Dragon roll media is a very large media agency and they have some massive clients. So $$ is not an issue here he needs to feel confident that this will be taken care of and he wont have to do the heavy lifting!"
"Electric Train Designs","Electric Train Designs  - Bench","28/04/2022","27/04/2022","Marketing","Spoke with Tim about Bench 04/27/2022
Jeff closed Tim on a $199/month Bench deal starting may
$99 in May, $199 in june and going forward

*Jeff gave $300 of as a promotion and honoured old bundle billing of $199/month for bench"
"Intend Coaching & Consulting LLC","Intend Coaching & Consulting LLC  - Bench Annual Essential Package + Catch up","28/04/2022","28/04/2022","B2C Marketing","Getting Annual essential package and catch up.

Due: $2,689.20 (April 2022 - March 2023) + $209.30 (January 2022) + $209.30 (February 2022) + $0 (March 2022) = $3,107.80"
"TryJax Construction LLC","TryJax Construction LLC  - Bench","28/04/2022","27/04/2022","High Potential Trials","meeting with jeff 04/27"
"Tyler Burnett","Tyler Burnett - Plus and bench","27/04/2022","13/04/2022","High Potential Trials","future business
1099
trucking industry
next 2 years wants to be more independant
tracking expenses 
getting more knowlegable
bench meeting reset for 4/26 and demo after"
"B&B Technologies, INC.","B&B Technologies, INC.  - Bench","26/04/2022","24/03/2022","B2C Marketing","She is taking care of her husbands books right now but has 2 jobs and does this on the side. She tries to keep track of it herself but simply doesn?t have the bandwidth to do it. Plus she has no clue what?s she?s doing and knows for sure that they aren?t getting as many deductions as possible. This has been a sore spot for them for the last 2 years and they have been paying penalties to the IRS and have had to file extensions on their taxes. 

Right now she just does it on her own in Freshbooks. She doesn?t know at all what she?s doing and most of her expenses are labelled uncategorized on Freshbooks. She said its ?a hot mess?. Needs help with this especially as the business grows. 

Sounds like they havent filed for the last 2 years and they have moved on from their CPA so are looking for a new one. Since everything is a mess they need help getting their ducks in a row. 


Potential for 2 years of catchup. 

Call booked march 29 at 1015 est. Ben is off next week so Matt will hopefully take it over.

Final call for April 19th at 11 am est. 

Moving forward with Monthly Essential."
"Prestige Builders Contracting","Prestige Builders Contracting  - Bench Tax","26/04/2022","22/04/2022","B2B Marketing","Per Kenz / Remy adding Bench Tax for 200$ month onto the account."
"Siafu Labs LLC","Siafu Labs LLC  - 1 Month Bench Catchup","26/04/2022","25/04/2022","B2C Marketing","User needs to be billed for 1 month of Bench catchup"
"Bread Ventures","Bread Ventures  - Bench","25/04/2022","25/04/2022","B2C Marketing","Clients moving forward with the Bench Essential Package"
"(attention Mathew Bojerski)","(attention Mathew Bojerski)  - Bench Tax add-on","22/04/2022","22/04/2022","B2C Marketing","Client wants to add-on tax filing services to existing Bench and FreshBook plans going forward."
"Ambit Design","Ambit Design  - Bench Essentials","20/04/2022","19/04/2022","High Potential Trials","currently managing the books himself. He knows he needs to either hire a fractional bookkeeping team or hire someone internally to manage the books as they grow."
"Evolve Wine Group","Evolve Wine Group  - Bench Essential + 2 months of Catchup","20/04/2022","19/04/2022","B2C Marketing","The client is moving forward with Bench Essential for 20% off for 6 months 

He went with essntial monthly with the 20% off for 6 months discount. He also purchased historical bookkeeping for Jan & Feb 2022 (20% off). 

January + February: $299 x 2= $598 with 20% discount = $478.40

May want to add Tax in the future, but was hesitant about Premium right now as his Wife is a long-time Bench user, and is paying a lot less."
"Adwebvertising LLC","Adwebvertising LLC  - Bench Personal Tax","18/04/2022","15/04/2022","B2C Marketing","adding bench person tax for $69"
